atmospheric_rain(mm/s) surface_runoff(mm/s) subsurface_runoff(mm/s) infiltration(mm/s) interception(mm/s) ground_evaporation(mm/s) vegetation_evaporation(mm/s) vegetation_transpiration(mm/s) heat_flux_into_soil(W/m^2)
1.06481e-04 2.31205e-05 8.50347e-05 1.06512e-04 2.42264e-05 2.12243e-06 7.17089e-06 1.75985e-05 -1.31494e+00
4.93056e-04 1.19353e-04 9.43897e-05 3.20154e-04 1.12178e-04 1.81107e-06 1.02882e-05 1.54917e-05 -2.28417e+00
4.05093e-04 9.82081e-05 1.14285e-04 2.16180e-04 9.21648e-05 1.13768e-06 2.21462e-05 1.18829e-05 -1.83466e-01
0.00000e+00 0.00000e+00 1.34419e-04 9.17683e-05 0.00000e+00 2.39097e-06 0.00000e+00 2.14236e-05 -4.79497e-03
1.45833e-04 3.08254e-05 1.38095e-04 1.10946e-04 3.31790e-05 1.65577e-06 2.58822e-05 1.18550e-05 -3.30350e-02
1.15741e-05 2.28471e-06 1.31497e-04 8.99894e-06 2.63324e-06 2.59292e-06 2.63324e-06 1.78981e-05 -1.68472e+00
9.25926e-06 1.80952e-06 1.19766e-04 4.11551e-06 2.10658e-06 1.85415e-06 2.10658e-06 1.92744e-05 4.54824e+00
4.62963e-06 8.92876e-07 1.03718e-04 6.03691e-08 1.05328e-06 2.68700e-06 1.05328e-06 2.27807e-05 3.44889e-01
2.31481e-06 4.40493e-07 8.78766e-05 -1.02997e-06 5.26639e-07 2.32077e-06 5.26639e-07 2.07267e-05 1.37018e+00
4.12037e-04 9.80857e-05 7.43034e-05 2.21983e-04 9.37412e-05 1.93511e-06 7.45827e-06 1.80114e-05 2.47120e+00
3.68056e-04 8.41428e-05 6.94229e-05 2.79592e-04 8.37346e-05 2.22057e-06 1.71171e-05 1.38029e-05 -9.80931e-02
2.66204e-04 6.26088e-05 8.31822e-05 1.65960e-04 6.05624e-05 2.36539e-06 1.10449e-05 1.72857e-05 6.76498e-01
7.93201e-05 1.60363e-05 9.79345e-05 1.16290e-04 1.80455e-05 2.61533e-06 1.49242e-05 1.48672e-05 -1.14229e+00
9.64729e-05 1.86650e-05 1.05652e-04 7.15245e-05 2.19477e-05 1.56964e-06 2.19199e-05 1.39319e-05 2.40560e+00
9.64729e-05 1.86408e-05 1.04803e-04 5.73573e-05 2.19476e-05 1.64984e-06 2.18221e-05 1.10962e-05 5.01945e-01
1.06289e-04 2.04208e-05 9.91002e-05 6.01427e-05 2.41805e-05 1.93626e-06 2.42278e-05 1.13252e-05 -2.67643e-01
1.62037e-05 3.08580e-06 9.18804e-05 6.74541e-06 3.68629e-06 2.65812e-06 3.68629e-06 2.15998e-05 9.98803e-01
8.79630e-05 1.92888e-05 8.31637e-05 5.71313e-05 2.00111e-05 2.53980e-06 8.94470e-06 1.97085e-05 -3.11168e-01
1.50463e-04 3.48518e-05 7.45009e-05 1.07373e-04 3.42294e-05 1.67751e-06 6.41062e-06 1.75534e-05 3.09631e+00
2.08333e-05 3.86354e-06 7.02240e-05 9.51043e-06 4.73942e-06 2.69538e-06 4.73942e-06 2.39553e-05 1.94033e+00
0.00000e+00 0.00000e+00 6.54889e-05 -3.17054e-06 0.00000e+00 3.15590e-06 1.25065e-22 2.49490e-05 -6.89538e-01
3.19444e-04 7.11240e-05 5.88817e-05 1.91638e-04 7.26699e-05 2.35610e-06 1.18530e-05 1.87737e-05 -4.70888e-01
1.96759e-04 4.08064e-05 5.42762e-05 1.57941e-04 4.47499e-05 1.68489e-06 2.73851e-05 1.07973e-05 -1.12204e+00
1.85185e-05 3.37356e-06 5.89279e-05 1.84274e-05 4.21075e-06 2.16891e-06 4.21075e-06 1.85981e-05 -1.20990e+00
7.63889e-05 1.52755e-05 6.38037e-05 4.82588e-05 1.73652e-05 1.95130e-06 1.22374e-05 1.69789e-05 7.96657e-01
2.08333e-05 3.82976e-06 6.29652e-05 1.02485e-05 4.73484e-06 2.16782e-06 4.73484e-06 1.87118e-05 -4.85720e-01
2.31481e-06 4.24056e-07 5.94064e-05 -9.97912e-07 5.25967e-07 2.32036e-06 5.25967e-07 1.86103e-05 1.30024e-01
6.94444e-05 1.38825e-05 5.39982e-05 4.29512e-05 1.57752e-05 2.61672e-06 9.96205e-06 1.88331e-05 1.34914e-01
3.70370e-05 6.62453e-06 4.83957e-05 1.94698e-05 8.41141e-06 2.43244e-06 8.39899e-06 1.66097e-05 -5.99939e-01
1.15741e-05 2.05623e-06 4.38014e-05 5.02424e-06 2.62793e-06 1.65153e-06 2.62793e-06 2.13697e-05 2.48377e+00
3.47222e-05 6.10231e-06 3.98746e-05 1.85273e-05 7.88188e-06 2.14358e-06 7.88188e-06 1.74082e-05 -1.01223e+00
4.62963e-06 8.05673e-07 3.62282e-05 7.66523e-07 1.05066e-06 1.95680e-06 1.05066e-06 1.84493e-05 -8.46826e-02
1.03240e-04 1.92247e-05 3.29407e-05 6.49492e-05 2.34238e-05 1.93715e-06 1.67921e-05 1.28575e-05 1.72867e+00
9.64729e-05 1.64690e-05 3.02167e-05 5.63046e-05 2.18831e-05 1.66752e-06 2.18426e-05 1.08489e-05 -5.48340e-02
9.64729e-05 1.63955e-05 2.87274e-05 5.64660e-05 2.18777e-05 1.61795e-06 2.18205e-05 1.04319e-05 4.74318e-01
9.64729e-05 1.63752e-05 2.83601e-05 5.64992e-05 2.18724e-05 1.63474e-06 2.18369e-05 1.14774e-05 3.64361e-02
1.05559e-04 1.79474e-05 2.87696e-05 6.18808e-05 2.39263e-05 1.77198e-06 2.24730e-05 9.70520e-06 -3.49165e-01
6.42361e-05 1.12795e-05 2.95743e-05 3.78512e-05 1.45563e-05 1.99967e-06 1.35810e-05 1.56028e-05 -2.24017e+00
6.42361e-05 1.12997e-05 3.04042e-05 3.74532e-05 1.45526e-05 2.36685e-06 1.22497e-05 1.78319e-05 -2.11008e+00
6.42361e-05 1.14083e-05 3.07387e-05 3.83230e-05 1.45489e-05 1.82258e-06 1.34325e-05 1.66842e-05 -9.39970e-01
6.42361e-05 1.12965e-05 3.05994e-05 3.74005e-05 1.45451e-05 2.37880e-06 1.29081e-05 1.70164e-05 -2.36435e+00
6.42361e-05 1.13141e-05 3.02016e-05 3.78244e-05 1.45413e-05 2.09565e-06 1.21276e-05 1.62475e-05 -2.30745e+00
6.42361e-05 1.13904e-05 2.96449e-05 3.86085e-05 1.45375e-05 1.58188e-06 1.37799e-05 1.80966e-05 2.29981e+00
6.42361e-05 1.12364e-05 2.90449e-05 3.74945e-05 1.45337e-05 2.34391e-06 1.28267e-05 1.74545e-05 -1.38628e+00
6.42361e-05 1.12289e-05 2.83686e-05 3.76842e-05 1.45299e-05 2.24049e-06 1.21835e-05 2.20055e-05 -3.18699e-01
6.42361e-05 1.12248e-05 2.76899e-05 3.79523e-05 1.45261e-05 2.05294e-06 1.29980e-05 2.02519e-05 6.01326e-01
6.42361e-05 1.12816e-05 2.70021e-05 3.82889e-05 1.45223e-05 2.09162e-06 1.25503e-05 1.96451e-05 -2.35447e+00
6.42361e-05 1.11805e-05 2.62716e-05 3.78700e-05 1.45184e-05 2.27538e-06 1.29101e-05 2.39186e-05 1.93894e+00
6.42361e-05 1.12150e-05 2.56120e-05 3.81260e-05 1.45146e-05 2.28828e-06 1.25378e-05 2.07834e-05 -2.89015e+00
6.42361e-05 1.12724e-05 2.50288e-05 3.91324e-05 1.45107e-05 1.55580e-06 1.31805e-05 1.68282e-05 1.04022e+00
6.42361e-05 1.10787e-05 2.44972e-05 3.80046e-05 1.45069e-05 2.10511e-06 1.24798e-05 1.86758e-05 4.50394e-01
6.42361e-05 1.10290e-05 2.40359e-05 3.77682e-05 1.45030e-05 2.29625e-06 1.27949e-05 2.03021e-05 -6.67250e-01
6.42361e-05 1.10443e-05 2.36833e-05 3.81417e-05 1.45012e-05 2.05110e-06 1.38394e-05 1.66116e-05 -1.41396e+00
6.42361e-05 1.10222e-05 2.33077e-05 3.77819e-05 1.45015e-05 2.41347e-06 1.21212e-05 2.07978e-05 -1.13915e+00
6.42361e-05 1.11286e-05 2.29761e-05 3.84745e-05 1.45018e-05 2.18246e-06 1.24427e-05 2.04964e-05 -1.62849e+00
6.42361e-05 1.10261e-05 2.26678e-05 3.80095e-05 1.45020e-05 2.34307e-06 1.28652e-05 1.94635e-05 -1.40232e+00
4.84954e-05 8.52869e-06 2.23217e-05 2.87910e-05 1.09486e-05 2.46745e-06 1.08023e-05 2.29110e-05 -1.05665e+00
0.00000e+00 0.00000e+00 2.19384e-05 -2.93763e-06 0.00000e+00 2.93576e-06 1.27050e-22 2.32415e-05 3.60925e-01
0.00000e+00 0.00000e+00 2.12508e-05 -2.97938e-06 0.00000e+00 2.97730e-06 -1.17549e-38 2.48971e-05 8.67768e-01
1.22685e-04 2.29835e-05 2.01633e-05 8.30919e-05 2.76998e-05 2.26189e-06 1.40536e-05 2.07840e-05 3.46539e+00
4.39815e-05 8.01864e-06 1.89766e-05 2.69088e-05 9.93031e-06 3.04142e-06 6.01129e-06 1.89546e-05 -3.87082e+00
