Date-Time wind dlwrf dswrf tas shum pres ppt
01/23/1998-03 0.6768501 416.6532 0.00000 296.7127 0.01763234 100568.2 0.0000000
01/23/1998-06 0.6397159 419.5270 0.00000 296.0448 0.01669590 100671.2 0.0000000
01/23/1998-09 0.7183942 419.3162 24.72743 297.0894 0.01771562 100827.0 0.0000000
01/23/1998-12 0.7475502 428.1498 379.16890 300.1911 0.02149679 100836.7 0.0000000
01/23/1998-15 0.7271836 427.1275 686.58620 305.3499 0.02880186 100700.0 0.0000000
01/23/1998-18 0.6644127 437.0110 444.71220 306.1686 0.02937441 100589.6 0.0000000
01/23/1998-21 0.5592375 437.7400 112.56750 302.6472 0.02363527 100505.4 0.0000000
01/24/1998-00 0.6024547 418.3737 0.00000 299.6910 0.01984391 100498.1 0.0000000
01/24/1998-03 0.7940643 418.7121 0.00000 297.8704 0.01816385 100568.1 0.0000000
01/24/1998-06 0.8413746 420.0299 0.00000 297.3677 0.01835866 100660.2 0.0000000
01/24/1998-09 0.7443854 419.8583 23.70446 298.1832 0.01959379 100774.6 0.0000000
01/24/1998-12 0.8221105 427.8147 384.81620 300.5398 0.02240409 100779.5 0.0000000
01/24/1998-15 1.0745500 427.0486 699.85410 304.4376 0.02779845 100674.8 0.0000000
01/24/1998-18 1.1145340 436.4170 474.01170 304.8862 0.02797264 100592.4 0.0000000
01/24/1998-21 0.9420645 437.0262 135.26940 301.8856 0.02349649 100532.2 0.0000000
01/25/1998-00 0.7789699 428.9795 0.00000 299.8679 0.02126316 100559.1 0.0000000
01/25/1998-03 0.6252510 429.3207 0.00000 298.1338 0.01936523 100672.8 0.0000000
01/25/1998-06 0.5740799 423.8286 0.00000 297.3357 0.01850131 100775.1 0.0000000
01/25/1998-09 0.6254565 423.7998 14.38951 297.4739 0.01857618 100866.2 0.0000000
01/25/1998-12 0.8205719 432.6748 312.69420 299.8817 0.02125236 100814.4 0.0000000
01/25/1998-15 1.1594260 431.7472 578.35710 304.5593 0.02734815 100619.5 0.0000000
01/25/1998-18 1.2244250 430.0526 418.81260 304.8730 0.02681225 100541.0 0.0000000
01/25/1998-21 1.0155680 430.8777 138.76020 300.8228 0.02097840 100578.6 0.0000000
01/26/1998-00 0.9395221 423.7230 0.00000 297.9601 0.01806507 100675.7 0.0000000
01/26/1998-03 0.9962879 423.9987 0.00000 296.4843 0.01686790 100832.2 0.0000000
01/26/1998-06 0.9830534 423.5994 0.00000 296.0785 0.01681636 100909.6 0.0000000
01/26/1998-09 0.8998188 423.4589 18.90244 296.7426 0.01765531 100908.0 0.0000000
01/26/1998-12 1.0652890 419.9432 405.99510 300.1309 0.02153003 100867.1 0.0000000
01/26/1998-15 1.4794630 418.7869 750.82060 306.2434 0.02958852 100786.7 0.0000000
01/26/1998-18 1.5118080 431.3584 496.81540 307.1110 0.02881583 100726.8 0.0000000
01/26/1998-21 1.1623240 432.2321 133.08740 302.7337 0.02234376 100687.4 0.0000000
01/27/1998-00 1.0025230 421.4238 0.00000 299.3056 0.01959688 100734.8 0.0000000
01/27/1998-03 1.0324030 421.7401 0.00000 297.5905 0.01818849 100869.1 0.0000000
01/27/1998-06 1.0210570 423.0256 0.00000 297.2024 0.01760235 100951.5 0.0000000
01/27/1998-09 0.9684848 422.8315 19.48792 298.1414 0.01862710 100982.2 0.0000000
01/27/1998-12 0.9334679 430.0960 351.03230 300.6948 0.02189172 100952.6 0.0000000
01/27/1998-15 0.9160067 429.2614 643.32460 304.8625 0.02811430 100862.9 0.0000000
01/27/1998-18 0.8777519 443.0063 406.34940 305.4161 0.02912891 100797.2 0.0000000
01/27/1998-21 0.8187037 443.6370 94.56908 302.3558 0.02434860 100755.6 0.0000000
